population_size,mutation_probability,crossover_probability,generations,elite_percentage,best_fitness
1400,0.02,0.7,80,10,4.9431537320810677e-05
1400,0.02,0.7,80,8,4.9578582052553296e-05
1400,0.02,0.7,80,10,4.905567819475104e-05
1400,0.02,0.7,80,10,4.893564962074871e-05
1400,0.02,0.7,80,10,4.956629491945477e-05
1400,0.02,0.7,80,10,4.920049200492005e-05
1400,0.02,0.7,80,10,4.910385465259023e-05
1400,0.02,0.7,80,10,4.956629491945477e-05
1400,0.02,0.7,80,12,4.893564962074871e-05
1400,0.02,0.7,80,12,4.9578582052553296e-05
1400,0.02,0.7,80,12,4.917629702483403e-05
1400,0.02,0.7,80,14,4.893564962074871e-05
1400,0.02,0.7,80,12,4.9236829148202856e-05
1400,0.02,0.7,80,12,4.9236829148202856e-05
1400,0.02,0.7,80,12,4.9578582052553296e-05
1400,0.02,0.7,80,12,4.956629491945477e-05
1400,0.02,0.7,80,12,4.9578582052553296e-05
1400,0.02,0.7,80,12,4.956629491945477e-05
1400,0.02,0.7,80,14,4.9578582052553296e-05
1400,0.02,0.7,80,14,4.893564962074871e-05
1400,0.02,0.7,80,14,4.917629702483403e-05
1400,0.02,0.7,80,12,4.9578582052553296e-05
1400,0.02,0.7,80,14,4.956629491945477e-05
1400,0.02,0.7,80,14,4.920049200492005e-05
1400,0.02,0.7,80,14,4.893564962074871e-05
